date,game_id,player,hgt,wgt,yr,number,min,o_rtg,percent_ps,pts,fgm_2,fga_2,fgm_3,fga_3,ftm,fta,or,dr,a,to,blk,stl,pf
Nov06,103,Spencer Johnson,6-5,195,Sr,20,29,156,22,20,6,7,2,9,2,2,1,4,7,0,0,0,0
Nov06,103,Noah Waterman,6-11,220,Sr,0,22,170,18,16,2,3,3,6,3,4,4,4,1,0,0,1,1
Nov06,103,Trevin Knell,6-5,186,Jr,21,22,143,22,19,1,3,5,9,2,3,1,4,1,1,0,1,3
Nov06,103,Trey Stewart,6-2,188,Jr,1,20,131,19,10,4,5,0,2,2,3,0,3,4,1,0,1,3
Nov06,103,Fousseyni Traore,6-6,240,Jr,45,16,101,21,6,3,5,0,1,0,0,2,7,2,2,1,1,2
Nov06,103,Richie Saunders,6-5,200,So,15,23,134,16,9,2,5,1,4,2,2,1,5,3,0,0,1,0
Nov06,103,Jaxson Robinson,6-7,190,Sr,2,20,121,21,13,2,5,3,7,0,0,1,0,1,1,0,0,1
Nov06,103,Aly Khalifa,6-11,270,Jr,50,16,184,12,3,0,1,1,2,0,0,4,3,4,0,0,0,0
Nov06,103,Dallin Hall,6-4,196,So,30,14,118,20,6,3,3,0,1,0,0,0,2,4,2,0,0,3
Nov06,103,Atiki Ally Atiki,6-10,220,Jr,4,8,NA,NA,6,2,3,0,1,2,2,3,4,0,0,0,1,2
Nov06,103,Townsend Tripple,6-8,212,Fr,12,5,NA,NA,2,0,0,0,0,2,2,1,1,0,0,0,1,0
Nov06,103,Tanner Hayhurst,6-6,204,Fr,24,3,NA,NA,0,0,1,0,1,0,0,1,0,0,2,0,0,2
Nov06,103,Jared McGregor,6-3,193,So,51,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov10,339,Spencer Johnson,6-5,195,Sr,20,33,89,20,10,2,6,2,5,0,2,1,6,3,2,0,0,2
Nov10,339,Fousseyni Traore,6-6,240,Jr,45,30,126,22,12,5,9,0,0,2,2,4,4,4,2,1,0,1
Nov10,339,Trevin Knell,6-5,186,Jr,21,30,101,12,7,1,3,1,4,2,3,0,4,1,0,0,2,2
Nov10,339,Noah Waterman,6-11,220,Sr,0,18,32,11,0,0,2,0,1,0,0,1,4,1,1,0,0,5
Nov10,339,Trey Stewart,6-2,188,Jr,1,15,50,23,3,0,1,1,3,0,0,1,1,0,3,0,0,2
Nov10,339,Dallin Hall,6-4,196,So,30,25,101,34,18,2,5,4,8,2,3,0,2,2,4,0,1,2
Nov10,339,Richie Saunders,6-5,200,So,15,22,184,15,12,3,3,0,1,6,6,0,3,1,0,0,1,1
Nov10,339,Jaxson Robinson,6-7,190,Sr,2,17,115,27,12,3,5,2,5,0,0,0,4,1,1,1,1,1
Nov10,339,Aly Khalifa,6-11,270,Jr,50,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nov10,339,Atiki Ally Atiki,6-10,220,Jr,4,5,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Nov15,589,Trevin Knell,6-5,186,Jr,21,27,143,20,18,3,4,4,8,0,1,1,2,3,1,0,2,1
Nov15,589,Spencer Johnson,6-5,195,Sr,20,24,142,22,11,2,5,1,3,4,4,1,4,6,1,0,0,1
Nov15,589,Trey Stewart,6-2,188,Jr,1,20,106,19,7,2,5,1,3,0,0,2,3,1,1,2,0,0
Nov15,589,Noah Waterman,6-11,220,Sr,0,18,122,20,5,0,2,1,5,2,2,2,5,3,0,0,0,2
Nov15,589,Fousseyni Traore,6-6,240,Jr,45,17,174,22,18,4,5,2,2,4,4,1,2,1,1,0,2,4
Nov15,589,Richie Saunders,6-5,200,So,15,24,184,12,9,3,4,1,2,0,0,2,5,4,0,1,0,1
Nov15,589,Jaxson Robinson,6-7,190,Sr,2,22,139,22,17,3,5,3,8,2,2,0,4,1,0,0,1,4
Nov15,589,Atiki Ally Atiki,6-10,220,Jr,4,19,122,20,7,3,4,0,1,1,3,2,6,3,1,2,1,4
Nov15,589,Dallin Hall,6-4,196,So,30,18,187,16,7,2,3,1,2,0,0,1,2,6,0,0,1,1
Nov15,589,Tanner Hayhurst,6-6,204,Fr,24,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nov15,589,Townsend Tripple,6-8,212,Fr,12,3,NA,NA,3,0,0,0,1,3,4,0,0,0,0,0,0,1
Nov15,589,Jared McGregor,6-3,193,So,51,2,NA,NA,3,0,0,1,1,0,0,1,1,0,0,0,0,0
Nov18,743,Trevin Knell,6-5,186,Jr,21,29,138,13,8,2,2,1,4,1,1,0,5,4,1,1,0,2
Nov18,743,Fousseyni Traore,6-6,240,Jr,45,27,125,20,17,8,11,0,0,1,1,1,3,0,2,1,1,0
Nov18,743,Noah Waterman,6-11,220,Sr,0,21,177,24,15,1,2,2,4,7,8,5,3,0,0,2,0,2
Nov18,743,Spencer Johnson,6-5,195,Sr,20,21,114,31,7,1,1,1,6,2,2,1,3,8,3,0,1,2
Nov18,743,Trey Stewart,6-2,188,Jr,1,14,62,12,2,1,1,0,0,0,0,1,1,0,2,0,1,1
Nov18,743,Jaxson Robinson,6-7,190,Sr,2,27,157,22,19,5,6,2,7,3,3,1,5,2,0,1,1,0
Nov18,743,Dallin Hall,6-4,196,So,30,24,139,17,8,1,2,2,5,0,0,0,3,5,1,0,1,0
Nov18,743,Richie Saunders,6-5,200,So,15,17,177,21,12,2,2,2,3,2,2,0,4,4,1,0,3,2
Nov18,743,Atiki Ally Atiki,6-10,220,Jr,4,13,130,12,5,2,3,0,0,1,2,0,2,0,0,0,0,3
Nov18,743,Tanner Hayhurst,6-6,204,Fr,24,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov18,743,Jared McGregor,6-3,193,So,51,2,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nov18,743,Townsend Tripple,6-8,212,Fr,12,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov23,940,Dallin Hall,6-4,196,So,30,27,104,19,6,1,3,0,2,4,5,3,1,4,2,0,1,1
Nov23,940,Spencer Johnson,6-5,195,Sr,20,26,96,18,6,0,3,2,5,0,0,1,5,4,2,0,1,2
Nov23,940,Fousseyni Traore,6-6,240,Jr,45,25,108,21,6,2,5,0,0,2,2,4,5,5,3,0,1,2
Nov23,940,Noah Waterman,6-11,220,Sr,0,25,179,20,24,3,5,6,9,0,0,1,6,1,0,0,0,1
Nov23,940,Trevin Knell,6-5,186,Jr,21,22,118,16,9,0,1,3,5,0,0,0,2,2,2,0,0,2
Nov23,940,Richie Saunders,6-5,200,So,15,22,103,20,9,4,5,0,3,1,2,2,3,0,1,0,0,1
Nov23,940,Jaxson Robinson,6-7,190,Sr,2,19,86,22,8,1,4,2,6,0,0,0,2,0,1,0,1,0
Nov23,940,Atiki Ally Atiki,6-10,220,Jr,4,15,97,15,2,1,3,0,0,0,0,5,4,0,1,0,1,3
Nov23,940,Trey Stewart,6-2,188,Jr,1,13,121,18,5,0,2,1,2,2,3,0,2,1,0,0,0,2
Nov23,940,Townsend Tripple,6-8,212,Fr,12,4,NA,NA,2,1,1,0,1,0,0,1,2,1,1,0,1,2
Nov23,940,Tanner Hayhurst,6-6,204,Fr,24,2,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nov23,940,Jared McGregor,6-3,193,So,51,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov24,5773,Dallin Hall,6-4,196,So,30,29,107,17,13,3,4,2,2,1,2,0,3,2,4,0,0,2
Nov24,5773,Noah Waterman,6-11,220,Sr,0,28,114,18,15,4,4,2,5,1,3,0,6,1,2,0,0,3
Nov24,5773,Spencer Johnson,6-5,195,Sr,20,26,133,22,11,4,5,1,3,0,1,2,3,6,2,0,0,1
Nov24,5773,Trevin Knell,6-5,186,Jr,21,24,127,20,13,1,2,3,7,2,2,1,4,1,1,0,1,3
Nov24,5773,Fousseyni Traore,6-6,240,Jr,45,6,NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,1,1
